time,CO2_Vip,HeatTemp_Vip,HumDef_Vip,MinPipeGrow_Vip,MinPipeLow_Vip,VentLeewMin_Vip,VentLeew_Vip,VentWind_Vip,WaterSupInt_Vip
43326.80903,NaN,20,1.8,0,0,0,21,24,NaN
43326.8125,NaN,20,1.8,0,0,0,21,24,NaN
43326.81597,NaN,20,1.8,0,0,0,21,24,NaN
43326.81944,NaN,20,1.8,0,0,0,21,24,NaN
43326.82292,NaN,20,1.8,0,0,0,21,24,NaN
43326.82639,NaN,20,1.8,0,0,0,21,24,NaN
43326.82986,NaN,20,1.8,0,0,0,21,24,NaN
43326.83333,NaN,20,1.8,0,0,0,21,24,NaN
43326.83681,NaN,20,1.8,0,0,0,21,24,NaN
43326.84028,NaN,19.9,1.8,0,0,0,20.9,24,NaN
43326.84375,NaN,19.9,1.8,0,0,0,20.9,24,NaN
43326.84722,NaN,19.9,1.8,0,0,0,20.9,24,NaN
43326.85069,NaN,19.8,1.8,0,0,0,20.8,24,NaN
43326.85417,NaN,19.8,1.8,0,0,0,20.8,24,NaN
43326.85764,NaN,19.7,1.8,0,0,0,20.7,24,NaN
43326.86111,NaN,19.7,1.8,0,0,0,20.7,24,NaN
43326.86458,NaN,19.7,1.8,0,0,0,20.7,24,NaN
43326.86806,NaN,19.6,1.8,0,0,0,20.6,24,NaN
43326.87153,NaN,19.6,1.8,0,0,0,20.6,24,NaN
43326.875,NaN,19.5,1.8,0,0,0,20.5,24,NaN
43326.87847,NaN,19.5,1.8,0,0,0,20.5,24,NaN
43326.88194,NaN,19.4,1.8,0,0,0,20.4,24,NaN
43326.88542,NaN,19.4,1.8,0,0,0,20.4,24,NaN
43326.88889,NaN,19.39999999,1.8,0,0,0,20.39999999,24,NaN
43326.89236,NaN,19.30000001,1.8,0,0,0,20.30000001,24,NaN
43326.89583,NaN,19.3,1.8,0,0,0,20.3,24,NaN
43326.89931,NaN,19.2,1.8,0,0,0,20.2,24,NaN
43326.90278,NaN,19.2,1.8,0,0,0,20.2,24,NaN
43326.90625,NaN,19.19999999,1.8,0,0,0,20.19999999,24,NaN
43326.90972,NaN,19.10000001,1.8,0,0,0,20.10000001,24,NaN
43326.91319,NaN,19.1,1.8,0,0,0,20.1,24,NaN
43326.91667,NaN,19,1.8,0,0,0,20,24,NaN
43326.92014,NaN,19,1.8,0,0,0,20,24,NaN
43326.92361,NaN,19,1.8,0,0,0,20,24,NaN
43326.92708,NaN,19,1.8,0,0,0,20,24,NaN
43326.93056,NaN,19,1.8,0,0,0,20,24,NaN
43326.93403,NaN,19,1.8,0,0,0,20,24,NaN
43326.9375,NaN,19,1.8,0,0,0,20,24,NaN
43326.94097,NaN,19,1.8,0,0,0,20,24,NaN
43326.94444,NaN,19,1.8,0,0,0,20,24,NaN
43326.94792,NaN,19,1.8,0,0,0,20,24,NaN
43326.95139,NaN,19,1.8,0,0,0,20,24,NaN
43326.95486,NaN,19,1.8,0,0,0,20,24,NaN
43326.95833,NaN,19,1.8,0,0,0,20,24,NaN
43326.96181,NaN,19,1.8,0,0,0,20,24,NaN
43326.96528,NaN,19,1.8,0,0,0,20,24,NaN
43326.96875,NaN,19,1.8,0,0,0,20,24,NaN
43326.97222,NaN,19,1.8,0,0,0,20,24,NaN
43326.97569,NaN,19,1.8,0,0,0,20,24,NaN
43326.97917,NaN,19,1.8,0,0,0,20,24,NaN
43326.98264,NaN,19,1.8,0,0,0,20,24,NaN
43326.98611,NaN,19,1.8,0,0,0,20,24,NaN
43326.98958,NaN,19,1.8,0,0,0,20,24,NaN
43326.99306,NaN,19,1.8,0,0,0,20,24,NaN
43326.99653,NaN,19,1.8,0,0,0,20,24,NaN
43327,NaN,19,1.8,0,0,0,20,24,NaN
43327.00347,NaN,19,1.8,0,0,0,20,24,NaN
43327.00694,NaN,19,1.8,0,0,0,20,24,NaN
43327.01042,NaN,19,1.8,0,0,0,20,24,NaN
43327.01389,NaN,19,1.8,0,0,0,20,24,NaN
43327.01736,NaN,19,1.8,0,0,0,20,24,NaN
