2021-06-06_192207 CO2: 404.11ppm, temp: 26.36'C, rh: 71.87%
2021-06-06_193214 CO2: 401.40ppm, temp: 26.38'C, rh: 71.90%
2021-06-06_194221 CO2: 402.20ppm, temp: 26.39'C, rh: 71.93%
2021-06-06_195227 CO2: 406.32ppm, temp: 26.40'C, rh: 71.95%
2021-06-06_200234 CO2: 412.07ppm, temp: 26.57'C, rh: 71.67%
2021-06-06_201241 CO2: 403.65ppm, temp: 26.57'C, rh: 71.44%
2021-06-06_202247 CO2: 399.89ppm, temp: 26.56'C, rh: 71.81%
2021-06-06_203254 CO2: 406.51ppm, temp: 26.59'C, rh: 71.92%
2021-06-06_204300 CO2: 412.32ppm, temp: 26.60'C, rh: 71.87%
2021-06-06_205307 CO2: 410.67ppm, temp: 26.62'C, rh: 71.85%
2021-06-06_210307 CO2: 411.02ppm, temp: 26.57'C, rh: 72.04%
2021-06-06_211307 CO2: 418.05ppm, temp: 26.53'C, rh: 72.45%
2021-06-06_212307 CO2: 416.48ppm, temp: 26.47'C, rh: 72.87%
2021-06-06_213308 CO2: 420.07ppm, temp: 26.47'C, rh: 73.04%
2021-06-06_214308 CO2: 418.26ppm, temp: 26.47'C, rh: 73.48%
2021-06-06_215308 CO2: 422.63ppm, temp: 26.49'C, rh: 73.97%
2021-06-06_220308 CO2: 426.30ppm, temp: 26.50'C, rh: 74.35%
2021-06-06_221308 CO2: 425.21ppm, temp: 26.52'C, rh: 74.72%
2021-06-06_222308 CO2: 431.76ppm, temp: 26.53'C, rh: 74.93%
2021-06-06_223308 CO2: 429.26ppm, temp: 26.54'C, rh: 75.00%
2021-06-06_224308 CO2: 438.31ppm, temp: 26.56'C, rh: 75.12%
2021-06-06_225308 CO2: 443.90ppm, temp: 26.53'C, rh: 75.21%
2021-06-06_230308 CO2: 442.61ppm, temp: 26.59'C, rh: 75.19%
